time,voltage,estimated OD
0.003,243.0,0.5364775572075632
0.004,243.0,0.5364775572075632
0.005,243.0,0.5364775572075632
0.006,243.0,0.5364775572075632
0.007,244.0,0.5389458860543567
0.008,243.0,0.5364775572075632
0.009,243.0,0.5364775572075632
0.009,244.0,0.5389458860543567
0.01,244.0,0.5389458860543567
0.011,244.0,0.5389458860543567
0.012,243.0,0.5364775572075632
0.014,244.0,0.5389458860543567
0.015,243.0,0.5364775572075632
0.016,243.0,0.5364775572075632
0.017,244.0,0.5389458860543567
0.018,243.0,0.5364775572075632
0.019,244.0,0.5389458860543567
0.02,243.0,0.5364775572075632
0.021,243.0,0.5364775572075632
0.022,243.0,0.5364775572075632
0.023,243.0,0.5364775572075632
0.024,243.0,0.5364775572075632
0.024,243.0,0.5364775572075632
0.025,244.0,0.5389458860543567
0.026,243.0,0.5364775572075632
0.027,243.0,0.5364775572075632
0.029,243.0,0.5364775572075632
0.03,243.0,0.5364775572075632
0.031,244.0,0.5389458860543567
0.032,243.0,0.5364775572075632
0.033,243.0,0.5364775572075632
0.034,243.0,0.5364775572075632
0.035,243.0,0.5364775572075632
0.036,243.0,0.5364775572075632
0.037,243.0,0.5364775572075632
0.038,243.0,0.5364775572075632
0.039,244.0,0.5389458860543567
1.013,243.0,0.5364775572075632
1.116,243.0,0.5364775572075632
1.214,244.0,0.5389458860543567
1.312,244.0,0.5389458860543567
1.415,270.0,0.6031224360709869
1.513,45.0,0.047748445542455636
1.611,11.0,0.0001
1.713,161.0,0.33407459177049836
1.811,3.0,0.0001
1.91,2.0,0.0001
2.013,4.0,0.0001
2.115,271.0,0.6055907649177804
2.213,180.0,0.3809728398595744
2.312,3.0,0.0001
2.413,3.0,0.0001
2.512,4.0,0.0001
2.614,87.0,0.15141825710778148
2.713,6.0,0.0001
2.811,3.0,0.0001
2.913,4.0,0.0001
3.012,7.0,0.0001
3.114,228.0,0.4994526245056611
3.213,9.0,0.0001
3.311,4.0,0.0001
3.411,4.0,0.0001
3.512,6.0,0.0001
3.614,248.0,0.5488192014415305
3.712,24.0,0.0001
3.811,4.0,0.0001
3.913,4.0,0.0001
4.009,7.0,0.0001
4.113,263.0,0.5858441341434326
4.212,16.0,0.0001
4.31,3.0,0.0001
4.413,3.0,0.0001
4.515,38.0,0.03047014361490133
4.613,208.0,0.45008604756979165
4.709,7.0,0.0001
4.814,5.0,0.0001
4.912,5.0,0.0001
5.015,195.0,0.4179977725614765
5.113,166.0,0.3464162360044658
5.211,5.0,0.0001
5.314,5.0,0.0001
5.412,6.0,0.0001
5.514,265.0,0.5907807918370196
5.613,8.0,0.0001
5.711,4.0,0.0001
5.814,4.0,0.0001
5.912,41.0,0.03787513015528175
6.014,225.0,0.4920476379652806
6.113,3.0,0.0001
6.211,3.0,0.0001
6.313,4.0,0.0001
6.412,28.0,0.005786855146966613
6.514,163.0,0.33901124946408534
6.612,3.0,0.0001
6.71,4.0,0.0001
6.813,4.0,0.0001
6.915,201.0,0.43280774564223734
7.014,63.0,0.09217836478473815
7.112,3.0,0.0001
7.214,3.0,0.0001
7.313,5.0,0.0001
7.415,267.0,0.5957174495306065
7.513,64.0,0.09464669363153161
7.612,3.0,0.0001
7.714,4.0,0.0001
7.812,8.0,0.0001
7.915,246.0,0.5438825437479435
8.013,7.0,0.0001
8.111,4.0,0.0001
8.214,5.0,0.0001
8.316,143.0,0.2896446725282159
8.414,190.0,0.4056561283275091
8.513,4.0,0.0001
8.611,4.0,0.0001
8.713,5.0,0.0001
8.816,266.0,0.5932491206838131
8.914,87.0,0.15141825710778148
9.012,3.0,0.0001
9.111,4.0,0.0001
9.214,58.0,0.07983672055077076
9.316,275.0,0.6154640803049543
9.414,6.0,0.0001
9.512,4.0,0.0001
9.614,3.0,0.0001
9.717,121.0,0.23534143789875953
9.815,64.0,0.09464669363153161
9.913,3.0,0.0001
10.012,4.0,0.0001
