time,voltage
0.0,99
0.0,298
0.0,298
0.0,299
0.001,299
0.001,299
0.001,298
0.001,299
0.001,299
0.001,298
0.001,298
0.001,299
0.001,298
0.001,299
0.002,299
0.002,299
0.002,299
0.002,299
0.002,299
0.002,299
0.002,298
0.002,299
0.003,298
0.003,299
0.003,299
0.003,299
0.003,299
0.003,298
0.003,299
0.003,298
0.004,298
0.004,298
0.004,299
0.004,298
0.004,298
0.004,299
0.004,299
0.004,299
0.004,298
0.005,299
0.005,299
0.005,298
0.005,298
0.005,299
0.005,298
0.005,299
0.005,299
0.005,299
0.005,299
0.006,299
0.006,299
0.006,299
0.006,298
0.006,299
0.006,298
0.006,299
0.006,299
0.006,299
0.007,299
0.007,298
0.007,299
0.007,298
0.007,298
0.007,298
0.007,299
0.007,298
0.007,298
0.008,299
0.008,299
1.012,299
1.11,298
1.209,299
1.311,299
1.409,298
1.512,299
1.61,299
1.712,299
1.81,299
1.913,299
2.011,299
2.11,298
2.212,299
2.311,299
2.413,299
2.511,299
2.613,299
2.712,298
2.814,299
2.912,299
3.011,298
3.113,299
3.211,299
3.314,298
3.412,299
3.514,299
3.613,299
3.715,299
3.813,299
3.912,299
4.014,299
4.113,299
4.215,299
4.313,299
4.415,299
4.514,299
4.616,299
4.714,299
4.813,299
4.915,299
5.014,299
5.116,299
5.214,298
5.317,299
5.415,299
5.517,299
5.616,299
5.714,299
5.816,298
5.915,299
6.017,299
6.115,298
6.218,299
6.316,299
6.418,299
6.517,299
6.615,299
6.717,299
6.816,299
6.918,299
7.016,299
7.119,298
7.217,299
7.319,299
7.418,298
7.516,299
7.619,299
7.717,299
7.819,299
7.917,299
8.02,298
8.118,299
8.221,299
8.319,298
8.417,299
8.52,299
8.618,298
8.72,299
8.819,299
8.921,298
9.019,298
9.122,298
9.22,299
9.318,298
9.421,298
9.519,298
9.621,299
9.72,299
9.822,299
9.921,299
10.023,299
